
========================================
  IMU Diagnostic - Raw Data Output
========================================

[1] Checking IMU connection...
Version:1.0.0
[2] IMU found! Initializing...
[3] Streaming sensor data...

Rotate the IMU and observe the output.

--------------------------------------------------------------------------------
TIME	RAW_MAG_X	RAW_MAG_Y	RAW_MAG_Z	EULER_YAW	QUAT_W		QUAT_Z
--------------------------------------------------------------------------------
15614	16.2847		-11.4017		-41.5052		31.1698		-0.961334		-0.269026
15722	12.5004		-10.1810		-41.0169		27.4000		-0.968948		-0.237028
15830	12.5004		-9.1800		-41.3587		24.8205		-0.974701		-0.215158
15938	12.5004		-7.7151		-41.7249		21.8895		-0.979919		-0.190108
16046	12.5004		-6.8117		-41.2366		19.3196		-0.983902		-0.168019
16153	12.5004		-5.5422		-41.7737		16.5643		-0.987717		-0.144257
16260	12.5004		-4.7121		-42.0423		13.2846		-0.991165		-0.118469
16367	12.5004		-3.2228		-41.9202		9.9880		-0.994385		-0.087109
16475	18.7506		-2.2950		-41.5784		6.9463		-0.996338		-0.060642
16583	18.7506		-1.3916		-42.0423		3.8162		-0.997574		-0.033266
16690	18.7506		-0.1221		-41.6761		0.5833		-0.998138		-0.005054
16797	18.7506		1.1475		-41.7981		-2.2649		-0.997971		0.019885
16905	18.7506		1.6846		-41.9446		-4.5538		-0.997467		0.039817
17013	18.7506		2.5391		-42.0911		-6.5131		-0.996628		0.056948
17121	18.7506		3.4425		-41.8958		-8.3963		-0.995499		0.073411
17228	18.7506		3.6866		-41.7493		-10.6927		-0.994034		0.091309
17336	12.5004		4.6632		-41.7493		-13.1823		-0.991608		0.115020
17444	12.5004		4.9806		-42.2864		-15.2141		-0.989395		0.132644
17552	12.5004		5.6154		-42.3109		-16.5546		-0.987778		0.144219
17659	12.5004		6.1525		-41.7981		-16.6599		-0.987564		0.145154
17766	12.5004		5.6642		-41.9202		-15.7652		-0.988754		0.137713
17873	12.5004		5.5177		-42.2132		-15.6814		-0.988907		0.136634
17980	12.5004		5.6642		-42.0667		-15.6537		-0.988907		0.136422
18088	18.6529		5.4445		-42.3353		-15.5938		-0.988998		0.135891
18195	12.5004		5.2492		-41.7981		-15.5503		-0.989059		0.135532
18302	12.5004		5.4201		-41.9202		-15.5423		-0.989059		0.135445
18410	12.5004		5.4933		-42.0911		-15.5472		-0.989059		0.135490
18517	18.2867		5.7131		-41.7737		-15.5761		-0.989014		0.135742
18624	12.5004		5.2980		-41.8470		-15.5714		-0.989014		0.135739
18731	12.5004		5.3957		-41.7493		-15.5617		-0.989029		0.135617
18838	12.5004		5.6642		-41.6272		-15.5729		-0.989029		0.135714
18945	12.5004		5.4201		-41.7493		-15.5848		-0.988998		0.135817
19052	12.5004		5.5910		-42.1644		-15.6023		-0.988983		0.135971
19159	12.5004		5.7375		-41.9935		-15.6436		-0.988937		0.136330
19266	12.5004		5.7619		-41.8958		-15.6814		-0.988892		0.136659
19374	12.5004		5.6398		-42.1155		-15.6912		-0.988876		0.136741
19482	12.5004		5.5177		-41.8958		-15.7038		-0.988861		0.136842
19589	12.5004		5.4933		-41.7249		-15.7125		-0.988846		0.136925
